what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1506995592243
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1506995592243
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1506995592243
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1506995592258
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1506995592258
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1506995592258
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1506995592258
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1506995592258
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1506995592274
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1506995592274
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1506995592274
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1506995592274
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1506995592274
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1506995592274
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1506995592274
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1506995592274
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1506995592274
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1506995592274
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1506995592274
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1506995592290
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1506995592290
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1506995592290
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1506995592290
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1506995592290
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1506995592290
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1506995592290
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1506995592461
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1506995592461
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1506995592461
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1506995592461
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1506995592477
started,bundle,com.google.gdt.eclipse.designer,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer",1506995592477
started,bundle,com.google.gdt.eclipse.designer.GXT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.GXT",1506995592477
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.SmartGWT",1506995592477
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer.UiBinder",1506995592477
started,bundle,com.google.gdt.eclipse.designer.hosted,2.4.2.r37x201110181233,"com.google.gdt.eclipse.designer.hosted",1506995592477
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1506995592477
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1506995592477
started,bundle,org.eclipse.wb.core,1.2.0.r37x201109270310,"org.eclipse.wb.core",1506995592477
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201109270310,"org.eclipse.wb.core.lib",1506995592477
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.core",1506995592477
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.ui",1506995592493
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1506995592493
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1506995592493
os,sysinfo,,,"win32",1506995592493
arch,sysinfo,,,"x86",1506995592493
ws,sysinfo,,,"win32",1506995592493
locale,sysinfo,,,"zh_CN",1506995592493
processors,sysinfo,,,"8",1506995592493
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1506995592493
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1506995592493
java.specification.name,sysinfo,,,"Java Platform API Specification",1506995592493
java.specification.vendor,sysinfo,,,"Oracle Corporation",1506995592493
java.specification.version,sysinfo,,,"1.7",1506995592493
java.vendor,sysinfo,,,"Oracle Corporation",1506995592493
java.version,sysinfo,,,"1.7.0_80",1506995592493
java.vm.info,sysinfo,,,"mixed mode, sharing",1506995592493
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1506995592493
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1506995592493
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1506995592493
java.vm.specification.version,sysinfo,,,"1.7",1506995592493
java.vm.vendor,sysinfo,,,"Oracle Corporation",1506995592493
java.vm.version,sysinfo,,,"24.80-b11",1506995592493
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1506995592493
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1506995592508
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1506995593508
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1506995593924
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506995593940
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1506995595408
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506995599892
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1506995696456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506995708332
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506995919643
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506995922597
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506995971675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506995973285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506995974765
